NetID,transmission.route,T_ad,T_dh,T_sim,Prob
30,Nonphys,0.021153574954167254,0.0190424725991337,0.08,0.584
31,Nonphys,0.2456453774006253,0.18792755249078708,0.22,0.592
32,Nonphys,0.3285543608124254,0.27016731077216743,0.42000000000000004,0.808
33,Nonphys,0.17041053446940357,0.14446904476990083,0.18000000000000002,0.668
34,Nonphys,0.2333474756045821,0.17243992257185747,0.24000000000000002,0.668
35,Nonphys,0.22000000000000003,0.17217541022095845,0.32,0.832
36,Nonphys,0.19798416126709864,0.16485489952528667,0.3,0.848
37,Nonphys,0.24752475247524755,0.19816582446301578,0.3,0.78
38,Nonphys,0.4458856911228213,0.3008340479427099,NA,0.964
39,Nonphys,0.12828736369467605,0.097902373882937,0.48000000000000004,0.868
40,Nonphys,0.7617728531855956,0.4376266454136781,NA,0.904
41,Nonphys,0.28800000000000003,0.21165152324959915,NA,0.964
42,Nonphys,0.2777777777777778,0.1958030051504704,NA,1.0
43,Nonphys,0.14211274277593555,0.10405055956565766,0.32,0.78
44,Nonphys,0.38650737877723124,0.3039286146355285,0.7000000000000001,0.916
45,Nonphys,0.35200000000000004,0.27104722792607805,0.54,0.884
46,Nonphys,0.06644116936458082,0.04164063569904251,0.04,0.14
47,Nonphys,0.11099659081899627,0.0960532938280802,0.08,0.496
48,Nonphys,0.07719298245614035,0.06374800253091922,0.06999999999999999,0.432
49,Nonphys,0.07784854918612881,0.06113942013982386,0.04,0.14
50,Nonphys,0.09867240760674562,0.08624393824410471,0.11,0.632
51,Nonphys,0.03321431536992444,0.02980011711301288,0.02,0.148
52,Nonphys,0.20488304592794945,0.1312544435596561,0.18000000000000002,0.6
53,Nonphys,0.16615895873719191,0.11895357314282372,0.15000000000000002,0.532
1,Ind,NA,NA,NA,0.484
2,Ind,0.11111111111111113,0.04852686308492202,0.39,0.4
3,Ind,0.9482758620689655,0.49370402692931065,NA,0.72
4,Ind,NA,0.3251499378389825,0.6,0.132
5,Ind,NA,NA,NA,0.0
6,Ind,NA,NA,NA,0.0
7,Ind,NA,NA,NA,0.0
8,Ind,NA,NA,NA,0.0
9,Ind,NA,NA,NA,0.0
10,Ind,NA,NA,NA,0.0
11,Ind,NA,0.0,NA,0.0
12,Ind,NA,NA,NA,0.368
13,Ind,0.12048192771084336,0.049051070269054725,0.14,0.108
14,Ind,NA,0.9734513274336285,NA,0.104
15,Ind,NA,0.1769911504424779,NA,0.252
16,Ind,0.1099706744868035,0.079866499896002,0.11,0.1
17,Ind,0.1629106706489275,0.1252067885047417,0.12,0.108
18,Ind,0.2577830656355344,0.19799707380996912,0.17,0.116
19,Ind,0.3246753246753247,0.23376349267348578,0.26,0.404
20,Ind,0.6417736289381564,0.3987553554284103,NA,0.812
21,Ind,NA,NA,NA,1.0
22,Ind,0.0,0.0,0.44,0.592
23,Ind,0.17369335228169905,0.1337630772548891,0.12,0.112
24,Ind,0.3065314784248998,0.23890321009993276,0.17,0.12
25,Ind,0.27645136969087714,0.21201635571334507,0.26,0.348
26,Ind,0.2999727297518408,0.2230211892502718,0.22,0.184
27,Ind,0.5552984729291994,0.3804262414675635,0.79,0.62
28,Ind,0.20533880903490762,0.16377708600544277,0.16,0.124
29,Ind,0.3709428129829984,0.2960464516805529,0.28,0.116
30,Ind,0.17099331571584023,0.12047269830922563,0.12,0.1
31,Ind,0.7,0.5492349941153394,NA,0.972
32,Ind,0.3120124804992199,0.2139320796752448,NA,0.936
33,Ind,0.15687641624542445,0.14259485669361538,0.35000000000000003,0.932
34,Ind,0.900163666121113,0.5543303629342089,NA,1.0
35,Ind,0.026154047338825683,0.019872311379056252,0.09,0.364
36,Ind,0.22000000000000003,0.1890629923515426,0.39,0.896
37,Ind,0.676923076923077,0.3742405832320778,NA,0.916
38,Ind,0.16794178018286995,0.10557495182385337,0.13,0.34
39,Ind,0.1679902260232132,0.10615585297355551,0.11,0.312
40,Ind,0.20308004738534438,0.17978032530420224,NA,1.0
41,Ind,0.14603870025556773,0.0968457088434391,NA,0.936
42,Ind,0.15449128227764292,0.09378672684662434,0.11,0.136
43,Ind,0.15211053365445557,0.1308419361137641,0.19,0.828
44,Ind,0.15929908403026682,0.13788833460730165,0.21000000000000002,0.844
45,Ind,0.2639788816894649,0.16921369444520779,0.22,0.476
46,Ind,0.05701796065760715,0.04264050883541091,0.04,0.184
47,Ind,0.06676204101096805,0.043014999309841276,0.03,0.124
48,Ind,0.052770448548812667,0.03496081942315303,0.03,0.188
49,Ind,0.04519695442060981,0.02950080211288627,0.03,0.304
50,Ind,0.04457917261055634,0.030629385715257897,0.02,0.132
51,Ind,0.03505838569617863,0.024017585071940642,0.02,0.2
